id,year,year_precision,country,category,event_type,claim_text,source,source_class,status,notes,verified_batch
US-1943-1,1943,circa,US,science,commercial-deployment,"US pharmaceutical firms achieve deep-tank fermentation mass production of penicillin, enabling the first antibiotic at scale.",Standard histories of medicine; USDA Peoria lab records,encyclopedic,ESTABLISHED,Scale-up 1943-1944; transformed infection treatment; discovery itself was British (Fleming/Florey/Chain).,2
US-1943-2,1943,range,US,industrial,milestone,"US wartime industrial mobilization mass-produces ships and aircraft at unprecedented scale (Liberty ships, tens of thousands of aircraft).",Standard economic/WWII histories; US wartime production records,encyclopedic,ESTABLISHED,"~1941–1945; ~2,700 Liberty ships; the 'Arsenal of Democracy'; anchored to 1943 peak.",2
US-1944-1,1944,exact,US,governmental_economic,founding,"The Bretton Woods conference establishes the IMF and the framework for the World Bank, anchoring the postwar monetary order.",IMF/World Bank founding records; standard economic histories,international-body,ESTABLISHED,July 1944; US-led postwar financial architecture and the dollar's central role.,2
US-1944-2,1944,exact,US,social,milestone,The GI Bill (Servicemen's Readjustment Act) funds mass higher education and home ownership for returning veterans.,US federal statute record; standard social histories,official-national,ESTABLISHED,Widely credited with expanding the postwar middle class and university system.,2
US-1945-1,1945,range,US,innovation,invention,"ENIAC, the first general-purpose electronic digital computer, becomes operational.",Standard computing histories; US Army records,encyclopedic,ESTABLISHED,Built 1943-1945; operational late 1945; publicly unveiled Feb 1946; anchored to 1945.,2
US-1945-2,1945,exact,US,science,invention,"The Manhattan Project achieves the first nuclear detonation (Trinity test), demonstrating engineered nuclear fission at scale.",US Manhattan Project records; standard histories,encyclopedic,ESTABLISHED,"July 16, 1945; recorded as a science/industrial milestone; military application to Hiroshima/Nagasaki noted, not the ledger's frame.",2
US-1945-3,1945,exact,US,governmental_economic,milestone,"Vannevar Bush's report 'Science, the Endless Frontier' sets the blueprint for federal funding of basic research (leading to the NSF).",US government report record; standard science-policy histories,official-national,ESTABLISHED,July 1945; foundational to the postwar US research-university-government compact.,2
CN-1937-1,1937,exact,China,infrastructure,completion,"The Qiantang River Bridge at Hangzhou, chief-engineered by Mao Yisheng, opens as the first modern double-deck road-and-rail bridge designed and built by Chinese engineers.",Standard histories of Chinese engineering,encyclopedic,ESTABLISHED,"Opened Sept 1937; deliberately demolished Dec 1937 to slow the Japanese advance, then rebuilt postwar.",1
CN-1938-1,1938,exact,China,science,founding,"The National Southwestern Associated University (Xinan Lianda) forms in Kunming, merging Peking, Tsinghua, and Nankai universities to preserve higher education through the war.",Standard histories of modern Chinese education,independent-academic,ESTABLISHED,1938-1946; alumni include future Nobel physicists; a landmark in intellectual resilience.,2
CN-1938-2,1938,circa,China,industrial,milestone,The Chinese Industrial Cooperatives ('Gung Ho') movement organizes decentralized wartime production across the interior.,Standard histories of wartime China,independent-academic,ESTABLISHED,Founded 1938; sustained small-scale industry away from occupied coasts.,2
CN-1940-1,1940,range,China,industrial,milestone,"China relocates key industries and universities to the southwestern interior (Chongqing, Sichuan) to sustain wartime production and scholarship.",Standard economic histories of wartime China,encyclopedic,OPEN-UNVERIFIED,Diffuse ~1937–1940; one of the era's largest wartime industrial migrations; anchored ~1940.,2
CN-1943-1,1943,exact,China,governmental_economic,milestone,"The US and UK relinquish extraterritorial rights in China by treaty, ending a century of the 'unequal treaties'.",Standard diplomatic histories; treaty records,encyclopedic,ESTABLISHED,Jan 1943; a major sovereignty milestone for the Republic of China.,2
CN-1945-1,1945,exact,China,governmental_economic,milestone,China becomes a founding member of the United Nations and a permanent member of the Security Council.,UN founding records,international-body,ESTABLISHED,UN Charter signed June 1945 (Republic of China); recognized China's great-power status.,2
US-1947-1,1947,exact,US,science,invention,"Bell Labs invents the point-contact transistor (Bardeen, Brattain, Shockley), foundation of all modern electronics.",Standard physics/technology histories; Nobel records (1956),encyclopedic,ESTABLISHED,Dec 1947; arguably the century's most consequential device.,2
US-1947-2,1947,exact,US,science,first-flight/launch,"Chuck Yeager pilots the Bell X-1 to the first crewed supersonic flight, breaking the sound barrier.",US Air Force / NACA records; standard aviation histories,official-national,ESTABLISHED,"Oct 14, 1947; opened the supersonic era.",2
US-1948-1,1948,exact,US,governmental_economic,milestone,The Marshall Plan (European Recovery Program) begins large-scale US-funded reconstruction of Western Europe.,US federal statute record; standard economic histories,official-national,ESTABLISHED,Enacted 1948; ~$13bn; anchored US postwar economic leadership.,2
US-1948-2,1948,exact,US,science,invention,"Claude Shannon publishes 'A Mathematical Theory of Communication', founding information theory.",Bell System Technical Journal (1948); standard references,independent-academic,ESTABLISHED,Defined the bit; underlies all digital communication and computing.,2
US-1949-1,1949,exact,US,governmental_economic,founding,"The US leads the founding of NATO, the postwar transatlantic security institution.",NATO founding records; treaty text,international-body,ESTABLISHED,April 1949; durable alliance institution centered on US power.,3
US-1951-1,1951,exact,US,innovation,commercial-deployment,UNIVAC I is delivered as the first commercially produced electronic computer in the US.,Standard computing histories,encyclopedic,ESTABLISHED,First delivered to the US Census Bureau; began the commercial computer industry.,3
US-1952-1,1952,exact,US,science,invention,"The US detonates 'Ivy Mike', the first full-scale thermonuclear (hydrogen) device.",US Atomic Energy Commission records; standard histories,encyclopedic,ESTABLISHED,Nov 1952; recorded as a thermonuclear-science milestone; weapons context noted.,3
US-1953-1,1953,exact,US,innovation,commercial-deployment,"The NTSC color television standard is adopted, launching compatible color broadcasting in the US.",Standard broadcasting histories; FCC records,encyclopedic,ESTABLISHED,RCA-led compatible color system; consumer color TV followed through the 1950s-60s.,3
US-1954-1,1954,exact,US,innovation,commercial-deployment,USS Nautilus is commissioned as the world's first nuclear-powered submarine.,US Navy records; standard histories,official-national,ESTABLISHED,Untethered submerged endurance transformed naval power and reactor engineering.,3
US-1954-2,1954,exact,US,science,invention,Bell Labs demonstrates the first practical silicon solar cell.,Standard histories of photovoltaics; Bell Labs records,encyclopedic,ESTABLISHED,~6% efficiency; ancestor of modern photovoltaics.,3
US-1947-3,1947,exact,US,social,commercial-deployment,"Levittown, New York begins mass-produced suburban housing, a template for postwar American suburbanization.",Standard urban/social histories,encyclopedic,ESTABLISHED,Assembly-line homebuilding; reshaped US settlement patterns (and its exclusionary covenants are part of the record).,2
US-1955-1,1955,exact,US,science,commercial-deployment,"Jonas Salk's inactivated polio vaccine is licensed after mass field trials, curbing a feared epidemic disease.",US Public Health Service records; standard medical histories,official-national,ESTABLISHED,Field trials 1954; licensed 1955; anchored to licensing.,3
US-1955-2,1955,exact,US,innovation,founding,"Ray Kroc launches the McDonald's franchise system, a template for standardized mass-service industry.",Standard business histories,encyclopedic,ESTABLISHED,Scaled the franchise operating model that reshaped global consumer services.,3
CN-1949-1,1949,exact,China,governmental_economic,founding,"The People's Republic of China is founded, ending decades of civil war and fragmentation on the mainland.",Standard histories of the PRC,encyclopedic,ESTABLISHED,"Oct 1, 1949; the defining political event of modern China; ROC government relocates to Taiwan.",3
CN-1950-1,1950,exact,China,social,milestone,The Marriage Law of 1950 bans arranged and child marriage and establishes new legal rights for women.,PRC statute record; standard social histories,official-national,ESTABLISHED,One of the PRC's first major social reforms.,3
CN-1950-2,1950,range,China,social,milestone,Nationwide Land Reform redistributes land from landlords to peasants under the 1950 Agrarian Reform Law.,PRC statute record; standard histories,encyclopedic,ESTABLISHED,"~1950–1953; vast social restructuring; accompanied by violent class struggle, part of the record.",3
CN-1950-3,1950,exact,China,governmental_economic,milestone,"The new government halts hyperinflation and stabilizes the renminbi, restoring monetary order.",Standard economic histories of the early PRC,independent-academic,ESTABLISHED,Chen Yun's 1950 stabilization measures ended years of runaway inflation.,3
CN-1952-1,1952,exact,China,infrastructure,completion,"The Chengdu–Chongqing (Chengyu) Railway opens, the first railway wholly built by the PRC.",Standard histories of Chinese railways,encyclopedic,OPEN-UNVERIFIED,"Completed July 1952; symbol of early PRC construction capacity. || Verification (batch 3): kept OPEN-UNVERIFIED. The July 1952 opening is an uncontested physical fact, but the sources found this session are PRC-official/state (SASAC, CGTN, china.org.cn) plus a single independent encyclopedic entry (Wikipedia); the standard needs a SECOND independent (or academic) source for a PRC claim. Re-eligible once one is consulted.",3
CN-1952-2,1952,circa,China,industrial,milestone,Industrial and agricultural output recovers to pre-1937 peak levels three years after founding.,Standard economic histories of the PRC,independent-academic,REPORTED,"Anchored ~1952; a widely-cited recovery benchmark, though early-PRC statistics carry reliability caveats. || REPORTED (batch 3): the only support for the 'recovery to pre-1937 peak levels' MAGNITUDE is PRC official output statistics (interested party: the PRC State Statistical Bureau), which carry documented reliability disputes. Independent economic histories (e.g. Eckstein, 'The Economy of Communist China, 1949-1969') report industrial output exceeded prewar levels by ~25% by 1952 but rely on the same official data, not independent measurement. Mundane caveat: early-PRC statistics are known to be affected by over-reporting and definitional shifts. The economic rehabilitation by 1952 is broadly accepted; this label describes the evidence for the specific magnitude, not a denial that recovery occurred.",3
CN-1952-3,1952,circa,China,social,milestone,The Patriotic Health Campaign mobilizes mass sanitation and disease-control drives nationwide.,Standard public-health histories of the PRC,independent-academic,ESTABLISHED,Launched 1952; early foundation of large gains in basic public health.,3
CN-1953-1,1953,range,China,industrial,milestone,The First Five-Year Plan begins Soviet-aided heavy industrialization built around 156 key projects.,PRC planning records; standard economic histories,encyclopedic,ESTABLISHED,1953–1957; laid China's initial modern industrial base; anchored to 1953 start.,3
CN-1953-2,1953,exact,China,governmental_economic,milestone,"China conducts its first modern national census, counting roughly 583 million people.",PRC census records,official-national,ESTABLISHED,1953; a major state-capacity milestone (and a contested figure in some later analyses).,3
CN-1954-1,1954,exact,China,governmental_economic,milestone,The first Constitution of the PRC is adopted and the first National People's Congress convenes.,PRC constitutional record,official-national,ESTABLISHED,Sept 1954; formalized the new state's governing framework.,3
CN-1955-1,1955,exact,China,science,milestone,"Qian Xuesen returns from the US to China, seeding the country's missile and later space programs.",Standard histories of Chinese science and the space program,encyclopedic,ESTABLISHED,"Oct 1955; a foundational figure for the 'Two Bombs, One Satellite' program.",3
US-1956-1,1956,exact,US,infrastructure,milestone,"The Federal-Aid Highway Act launches the Interstate Highway System, the largest US public-works program.",US federal statute record; standard references,official-national,ESTABLISHED,"~48,000 miles; reshaped US commerce, mobility, and suburbanization.",3
US-1956-2,1956,exact,US,innovation,commercial-deployment,"IBM ships the RAMAC 305, the first computer with a moving-head hard disk drive.",Standard computing histories; IBM records,encyclopedic,ESTABLISHED,Invented random-access magnetic disk storage.,3
US-1958-1,1958,exact,US,governmental_economic,founding,NASA is established as the US civilian space agency.,US federal statute record,official-national,ESTABLISHED,Response to Sputnik; institutionalized the US space effort.,4
US-1958-2,1958,exact,US,science,first-flight/launch,"Explorer 1, the first US satellite, reaches orbit and discovers the Van Allen radiation belts.",NASA records; standard references,official-national,ESTABLISHED,Jan 1958; first US space science result.,4
US-1958-3,1958,exact,US,innovation,invention,Jack Kilby at Texas Instruments demonstrates the first integrated circuit.,US patent record; Nobel records (2000),encyclopedic,ESTABLISHED,Robert Noyce's parallel silicon IC (1959) followed; together they founded microelectronics.,4
US-1960-1,1960,exact,US,science,invention,Theodore Maiman operates the first working laser.,Standard physics histories; Hughes Research Labs records,encyclopedic,ESTABLISHED,"May 1960; enabled fiber optics, medicine, manufacturing, and consumer electronics.",4
US-1960-2,1960,exact,US,social,commercial-deployment,The FDA approves the first oral contraceptive pill.,US FDA records; standard social histories,official-national,ESTABLISHED,"Reshaped family planning, women's workforce participation, and demography.",4
US-1961-1,1961,exact,US,science,first-flight/launch,Alan Shepard becomes the first American in space aboard a Mercury capsule.,NASA records,official-national,ESTABLISHED,May 1961; preceded by Gagarin (USSR); catalyzed the Apollo commitment.,4
US-1962-1,1962,exact,US,innovation,first-flight/launch,"Telstar 1, the first active communications satellite, relays the first live transatlantic television.",NASA/AT&T records; standard references,encyclopedic,ESTABLISHED,Began the satellite-communications era.,4
US-1964-1,1964,exact,US,innovation,commercial-deployment,"IBM introduces the System/360, the first compatible family of mainframe computers.",Standard computing histories; IBM records,encyclopedic,ESTABLISHED,Standardized enterprise computing; a landmark industrial bet.,4
US-1964-2,1964,exact,US,social,milestone,"The Civil Rights Act of 1964 outlaws discrimination on the basis of race, color, religion, sex, or national origin.",US federal statute record,official-national,ESTABLISHED,Landmark of the civil-rights era.,4
US-1965-1,1965,exact,US,social,milestone,The Voting Rights Act of 1965 bans racial discrimination in voting.,US federal statute record,official-national,ESTABLISHED,Enforced the 15th Amendment; transformed political participation.,4
US-1965-2,1965,exact,US,social,milestone,"Medicare and Medicaid are created, establishing federal health coverage for the elderly and poor.",US federal statute record,official-national,ESTABLISHED,Largest expansion of the US social-insurance state since 1935.,4
CN-1956-1,1956,exact,China,innovation,commercial-deployment,"The First Automobile Works produces the Jiefang CA-10 truck, the first motor vehicle manufactured in China.",Standard histories of Chinese industry,encyclopedic,ESTABLISHED,July 1956; start of an indigenous auto industry; first domestic cars (Dongfeng/Hongqi) followed 1958.,3
CN-1956-2,1956,exact,China,governmental_economic,milestone,"The 'socialist transformation' of industry and commerce is completed, converting private enterprise to public/joint ownership.",Standard economic histories of the PRC,independent-academic,ESTABLISHED,Nationalized the urban economy within a few years of founding.,3
CN-1957-1,1957,exact,China,infrastructure,completion,"The Wuhan Yangtze River Bridge opens, the first bridge to span the Yangtze, carrying rail and road.",Standard histories of Chinese railways,encyclopedic,ESTABLISHED,Oct 1957; linked north-south rail; a signature early-PRC engineering feat (with Soviet assistance).,3
CN-1958-1,1958,exact,China,social,milestone,"Hanyu Pinyin romanization is adopted, complementing simplified characters in a national literacy drive.",PRC language-reform records,official-national,ESTABLISHED,Simplified-character scheme 1956; Pinyin 1958; tools behind large literacy gains.,4
CN-1959-1,1959,exact,China,industrial,discovery,"The Daqing oilfield is discovered, launching China's path to petroleum self-sufficiency.",Standard histories of Chinese industry,encyclopedic,ESTABLISHED,"Discovered 1959; by ~1963 China was largely oil self-sufficient; 'Iron Man' Wang Jinxi became a national symbol. || Verification (batch 4): ESTABLISHED. Era context stated plainly - the discovery falls within the Great Leap Forward (1958-1962); context, not adjudication.",4
CN-1959-2,1959,exact,China,infrastructure,completion,The Great Hall of the People and the 'Ten Great Buildings' are completed for the PRC's tenth anniversary.,Standard architectural histories of the PRC,encyclopedic,ESTABLISHED,"Rapid monumental construction in Beijing, 1958-1959. || Verification (batch 4): ESTABLISHED. Era context - one of the Great Leap Forward's 'Ten Great Buildings' (1959).",4
CN-1964-1,1964,exact,China,science,invention,"China detonates its first atomic bomb, becoming the fifth nuclear-weapons state.",Standard histories of the Chinese nuclear program,encyclopedic,ESTABLISHED,"Oct 16, 1964 (Project 596); recorded as a science/engineering milestone of the 'Two Bombs, One Satellite' program.",4
CN-1964-2,1964,circa,China,industrial,milestone,The 'Third Front' program begins building a dispersed heavy-industrial base in China's interior.,Standard economic histories of the PRC,independent-academic,ESTABLISHED,"From 1964; a massive, costly inland industrialization; diffuse, anchored to 1964 start.",4
CN-1965-1,1965,exact,China,science,invention,"Chinese scientists achieve the first total synthesis of crystalline bovine insulin, the first synthesis of a functional protein.",Standard histories of biochemistry; contemporaneous reports,independent-academic,ESTABLISHED,"Sept 1965, Shanghai; a genuine world scientific first, often under-credited in English-language sources.",4
US-1969-1,1969,exact,US,science,first-flight/launch,Apollo 11 lands the first humans on the Moon.,NASA records; standard references,official-national,ESTABLISHED,"July 20, 1969; the culmination of the Space Race.",5
US-1969-2,1969,exact,US,science,milestone,"ARPANET carries its first host-to-host message, the direct ancestor of the internet.",Standard computing histories; ARPA records,independent-academic,ESTABLISHED,Oct 1969; packet-switched networking.,5
US-1969-3,1969,exact,US,innovation,invention,Bell Labs develops the Unix operating system.,Standard computing histories; Bell Labs records,encyclopedic,ESTABLISHED,"With C (1972), the basis of most modern operating systems.",5
US-1970-1,1970,exact,US,innovation,commercial-deployment,"The Boeing 747 enters commercial service, inaugurating the wide-body jumbo-jet era.",Standard aviation histories; Boeing records,encyclopedic,ESTABLISHED,Democratized long-haul air travel for decades.,5
US-1970-2,1970,exact,US,governmental_economic,founding,The Environmental Protection Agency is created and the Clean Air Act is strengthened.,US federal records,official-national,ESTABLISHED,Founded modern US environmental regulation.,5
US-1971-1,1971,exact,US,innovation,commercial-deployment,"Intel ships the 4004, the first commercially available microprocessor.",Standard computing histories; Intel records,encyclopedic,ESTABLISHED,Put a general-purpose CPU on a single chip.,5
US-1971-2,1971,exact,US,governmental_economic,milestone,"The US ends dollar-gold convertibility (the 'Nixon shock'), collapsing the Bretton Woods fixed-rate system.",US federal records; standard economic histories,official-national,ESTABLISHED,Aug 1971; ushered in the era of floating fiat currencies.,5
US-1971-3,1971,exact,US,innovation,founding,NASDAQ launches as the first electronic stock market.,Standard financial histories,encyclopedic,ESTABLISHED,Screen-based trading that later hosted the tech-company boom.,5
US-1972-1,1972,exact,US,science,first-flight/launch,"Pioneer 10 launches, becoming the first spacecraft to traverse the asteroid belt and fly by Jupiter.",NASA records,official-national,ESTABLISHED,First mission to the outer solar system.,5
US-1973-1,1973,exact,US,science,invention,"Cohen and Boyer demonstrate practical recombinant DNA, founding genetic engineering and biotechnology.",Standard histories of molecular biology,independent-academic,ESTABLISHED,Enabled the biotech industry (Genentech founded 1976).,5
US-1973-2,1973,exact,US,innovation,invention,Robert Metcalfe invents Ethernet at Xerox PARC.,Standard computing histories; Xerox PARC records,encyclopedic,ESTABLISHED,The dominant local-area-networking standard.,5
US-1973-3,1973,exact,US,innovation,milestone,Motorola's Martin Cooper places the first handheld cellular phone call.,Standard telecom histories; Motorola records,encyclopedic,ESTABLISHED,April 1973; prototype of the mobile-phone era.,5
US-1975-1,1975,exact,US,innovation,founding,The Altair 8800 sparks the personal-computer movement and Microsoft is founded.,Standard computing/business histories,encyclopedic,ESTABLISHED,"1975; hobbyist PCs and the software industry take off. Verified batch 6: Altair 8800 (Popular Electronics cover, Jan 1975); Micro-Soft formed to write its BASIC, fall 1975.",6
CN-1967-1,1967,exact,China,science,invention,"China detonates its first hydrogen bomb, only 32 months after its first atomic test.",Standard histories of the Chinese nuclear program,encyclopedic,ESTABLISHED,June 1967; an unusually fast A-to-H progression.,4
CN-1968-1,1968,exact,China,infrastructure,completion,"The Nanjing Yangtze River Bridge opens, the first Yangtze bridge designed and built entirely by China.",Standard histories of Chinese railways,encyclopedic,ESTABLISHED,"Dec 1968; a self-reliance milestone after Soviet withdrawal, unlike the Soviet-aided Wuhan bridge.",4
CN-1968-2,1968,circa,China,social,milestone,The 'barefoot doctors' program scales basic rural healthcare to hundreds of millions.,Standard public-health histories; WHO commentary,independent-academic,ESTABLISHED,"From ~1968; credited in large gains in rural life expectancy; praised by the WHO. || Verification (batch 4): ESTABLISHED. Era context - endorsed/scaled 1968 during the Cultural Revolution; magnitude (~1.5M by 1978) noted, event is the anchor.",4
CN-1970-1,1970,exact,China,science,first-flight/launch,"China launches its first satellite, Dong Fang Hong 1, becoming the fifth nation to reach orbit.",Standard histories of the Chinese space program,encyclopedic,ESTABLISHED,"April 1970; completed the 'Two Bombs, One Satellite' program.",5
CN-1971-1,1971,exact,China,governmental_economic,milestone,"The PRC takes China's United Nations seat, including permanent Security Council membership.",UN records (Resolution 2758),international-body,ESTABLISHED,Oct 1971; replaced the ROC; a decisive return to the world stage.,5
CN-1972-1,1972,circa,China,science,discovery,"Tu Youyou's team isolates artemisinin (qinghaosu), a highly effective antimalarial, under Project 523.",Standard histories of medicine; Nobel records (2015),independent-academic,ESTABLISHED,~1972; later a global malaria treatment; Nobel Prize 2015; developed during the Cultural Revolution.,5
CN-1972-2,1972,exact,China,governmental_economic,milestone,President Nixon's visit and the Shanghai Communiqué begin US-China rapprochement.,Standard diplomatic histories,encyclopedic,ESTABLISHED,"Feb 1972; reopened China's ties with the West, preceding reform and opening.",5
CN-1973-1,1973,exact,China,science,invention,"Yuan Longping's team achieves the first high-yield hybrid rice, a major advance for food security.",Standard histories of agricultural science,independent-academic,ESTABLISHED,First successful three-line hybrid ~1973; large-scale deployment followed; credited with feeding tens of millions.,5
CN-1974-1,1974,exact,China,science,discovery,"The Terracotta Army is discovered near Xi'an, one of the century's great archaeological finds.",Standard archaeological references,encyclopedic,ESTABLISHED,March 1974; Qin Shi Huang's mausoleum complex.,5
CN-1975-1,1975,exact,China,science,first-flight/launch,"China launches and recovers its first returnable satellite, the third nation to achieve satellite recovery.",Standard histories of the Chinese space program,encyclopedic,ESTABLISHED,Nov 1975; a key step toward reconnaissance and later crewed spaceflight.,5
US-1976-1,1976,exact,US,innovation,founding,Apple is founded and the Apple II (1977) helps launch the personal-computer industry.,Standard computing/business histories,encyclopedic,ESTABLISHED,Anchored to 1976 founding; Apple II shipped 1977. Verified batch 6: Apple founded 1 Apr 1976; Apple II (1977) drove the personal-computer market.,6
US-1976-2,1976,exact,US,innovation,commercial-deployment,Seymour Cray's Cray-1 defines the modern supercomputer.,Standard computing histories,encyclopedic,ESTABLISHED,"Vector supercomputing; ~160 MFLOPS. Verified batch 6: first Cray-1 (SN-001) shipped to Los Alamos, Mar 1976; vector supercomputer.",6
